y1	y2
2.11	3.34
2.51	3.38
2.12	1.90
2.60	3.32
2.78	2.04
3.55	2.13
1.74	2.75
2.46	2.88
3.18	2.97
3.15	2.96
1.91	2.57
2.66	2.64
2.36	3.13
3.07	2.69
2.76	1.96
4.09	2.53
2.69	2.55
2.99	2.74
1.78	2.80
2.51	2.42
2.97	3.23
2.65	2.95
2.76	2.68
3.22	2.98
2.86	3.20
2.65	2.94
3.10	3.05
2.80	3.42
2.01	2.60
2.26	2.56
2.87	3.11
2.12	2.63
2.92	2.20
2.37	3.20
2.94	3.35
2.16	3.63
2.47	2.95
2.82	3.20
2.93	2.24
2.59	1.91
2.37	3.07
2.66	3.23
3.45	3.04
2.48	2.25
2.38	2.40
3.39	2.32
2.73	3.80
2.45	2.08
2.17	3.28
2.42	2.10
3.09	2.28
2.96	2.19
2.45	2.73
2.73	2.67
2.57	3.01
2.87	3.05
3.49	3.49
2.74	2.15
2.29	2.60
2.94	2.77
2.21	2.36
2.36	2.23
2.01	2.34
2.45	2.58
2.50	2.02
3.35	2.62
2.30	2.13
2.36	2.54
2.48	2.58
3.56	3.33
1.96	3.24
3.26	2.65
2.47	2.14
2.98	2.68
2.89	2.55
2.92	3.29
2.85	3.54
3.94	1.93
2.14	3.47
3.01	2.18
2.79	2.09
3.09	3.76
2.57	2.98
2.90	3.00
3.97	2.77
4.35	1.81
2.87	2.52
2.05	3.03
2.65	3.19
3.93	2.17
3.73	2.22
2.73	2.44
2.48	3.17
2.06	3.61
2.19	2.24
2.40	2.77
2.48	2.84
2.46	2.94
3.47	2.20
3.38	3.22
3.31	2.39
3.81	2.86
4.02	3.41
2.78	3.52
2.85	3.26
3.11	3.32
2.37	2.75
2.40	3.25
4.02	3.48
3.12	3.13
1.94	2.93
3.33	2.24
1.63	2.40
2.60	2.03
1.73	3.27
2.81	3.22
2.70	3.14
2.26	3.66
1.60	3.32
3.48	2.92
3.43	3.41
2.66	3.56
2.19	3.12
3.31	3.09
3.21	3.77
2.67	2.54
3.07	3.22
3.46	3.14
3.54	2.45
1.68	2.81
3.30	2.98
2.37	2.87
3.00	1.96
2.70	3.01
2.26	3.16
3.29	2.38
2.64	2.79
2.30	3.51
2.25	3.10
3.46	2.64
1.99	3.00
3.65	3.55
2.83	2.39
3.11	2.89
2.09	1.15
2.02	3.47
2.17	2.82
2.16	3.29
1.86	3.34
2.30	3.66
2.75	3.85
2.95	3.13
2.90	2.17
2.78	3.04
2.54	2.94
2.52	2.60
2.37	3.21
2.10	2.98
2.04	2.66
2.10	1.84
1.95	3.41
3.15	3.55
2.52	2.15
2.69	3.17
2.28	2.90
2.54	2.42
4.62	2.34
2.78	2.44
2.63	2.77
1.99	2.98
2.95	3.43
2.83	1.93
2.80	2.78
2.89	2.51
2.76	2.70
2.71	2.37
3.70	2.84
3.39	2.29
1.48	3.29
2.71	2.96
2.08	2.84
2.79	2.71
2.58	1.82
2.50	2.68
2.32	2.79
2.71	2.66
2.73	2.01
2.90	2.42
3.60	2.97
2.02	3.83
2.85	3.43
3.04	3.24
1.89	3.67
3.31	2.43
2.94	2.23
3.92	2.98
3.32	3.03
2.72	3.27
3.44	3.24
3.06	2.76
2.53	3.15
3.16	2.49
3.72	2.51
3.34	2.82
2.92	3.15
1.88	2.61
2.31	3.78
2.83	3.04
3.24	2.72
1.98	2.56
2.07	3.18
2.53	2.25
1.74	3.11
3.40	2.21
2.61	3.28
3.01	2.62
3.17	2.64
2.00	2.00
2.54	2.10
4.19	2.81
3.53	2.92
3.09	3.43
2.40	3.16
2.51	2.47
3.83	3.50
3.25	3.16
2.25	3.75
3.86	3.16
3.02	2.19
2.56	3.58
2.75	2.50
3.70	2.47
1.86	1.92
2.37	2.66
2.85	2.10
1.79	2.92
3.12	3.15
2.07	2.39
3.55	3.32
2.53	2.41
2.53	3.14
2.97	1.96
2.07	3.16
2.06	2.58
2.95	2.77
3.52	3.61
3.24	3.08
2.11	2.06
2.53	3.53
2.27	2.92
2.43	3.46
3.30	2.73
2.26	2.78
2.46	3.47
3.12	3.59
3.65	3.43
2.74	2.56
3.10	1.94
2.29	3.35
2.35	3.57
2.82	1.60
2.29	2.57
3.13	2.61
3.43	2.40
2.49	2.40
3.44	2.01
2.55	2.15
2.31	3.22
2.58	3.29
3.06	2.62
1.70	2.28
3.57	2.66
1.69	3.28
2.82	2.91
2.12	3.13
4.04	2.55
2.83	2.91
3.28	3.16
4.58	2.58
2.94	3.68
3.60	1.94
2.94	3.39
3.69	2.00
3.30	2.75
3.30	2.28
2.84	2.73
1.95	3.27
2.50	3.56
1.99	2.47
3.44	2.87
2.90	3.02
2.79	3.58
2.81	2.65
3.11	2.66
2.86	2.93
3.21	2.16
2.80	3.12
2.40	2.97
1.87	2.80
2.78	2.25
2.50	2.64
2.20	2.53
2.56	2.70
2.55	3.06
3.20	3.19
3.13	3.31
2.69	3.01
2.85	2.93
2.59	2.49
3.09	2.36
3.32	2.77
3.08	2.32
3.43	3.45
2.24	3.11
3.29	1.89
2.74	3.63
2.95	2.97
2.86	3.01
3.08	1.71
2.97	2.81
2.33	2.84
1.78	2.93
2.03	2.90
3.31	2.79
2.10	1.97
2.45	2.74
2.05	2.67
3.20	2.85
3.07	2.95
2.46	2.58
3.29	2.69
2.57	3.18
2.82	3.26
3.14	2.81
2.27	2.37
2.93	2.65
2.91	3.66
3.73	2.66
3.06	3.19
3.04	2.77
2.99	3.04
1.86	2.83
3.22	3.04
1.96	3.02
2.36	2.80
3.25	1.76
2.14	3.18
2.59	2.82
2.32	2.40
2.26	2.33
3.74	2.93
2.23	2.58
2.33	1.76
2.45	2.07
3.88	2.33
2.16	2.86
2.48	3.28
3.89	2.25
2.15	2.99
2.86	2.45
2.86	2.98
2.70	2.20
2.68	2.60
2.42	3.06
3.52	3.18
2.73	2.16
2.27	3.11
3.29	3.49
3.36	3.08
2.50	1.77
4.17	3.63
3.79	2.76
2.65	2.93
3.19	1.70
2.20	2.94
3.02	3.35
2.87	3.33
3.44	3.18
2.18	2.93
2.93	3.91
2.34	2.06
2.70	2.92
2.67	2.96
3.11	3.14
2.34	2.77
2.37	3.86
2.00	2.07
2.54	2.67
2.33	2.63
1.56	2.81
2.80	2.95
2.71	2.12
2.80	2.56
3.23	2.61
2.10	2.80
2.54	3.18
3.99	3.25
2.15	2.87
2.70	2.82
3.09	2.52
2.83	3.01
2.15	2.19
2.36	2.75
3.22	3.59
1.72	3.42
2.44	2.61
1.86	3.07
2.66	1.47
2.87	2.85
2.63	1.61
2.64	2.71
2.15	2.24
2.97	3.30
3.21	2.94
2.49	2.84
1.91	2.11
2.17	2.67
2.86	3.15
2.71	2.35
3.07	3.02
3.55	3.09
2.54	1.67
2.15	3.29
2.84	2.51
2.88	2.13
2.24	2.91
1.61	3.74
4.03	3.10
3.08	3.44
3.33	2.03
2.43	3.58
2.73	2.61
2.19	2.94
3.03	2.47
2.94	1.44
2.44	2.77
2.67	2.20
3.29	2.40
2.91	3.02
2.35	2.94
4.60	2.99
4.12	3.05
2.66	2.87
2.44	3.14
2.98	3.22
3.86	2.49
2.65	2.96
3.15	2.57
2.34	2.79
2.32	2.54
2.64	4.12
3.12	3.23
2.61	2.34
2.39	3.17
3.79	2.65
2.44	3.05
3.02	2.60
2.50	3.06
2.81	3.28
