"cod.coleta","tribo.planta","gen.planta","sp.planta","ordem.inseto","fam.inseto","gen.inseto","sp.inseto"
"G0601","Astereae","Baccharis","Baccharis subdentata","Lepidoptera","Pterophoridae","Lioptilodes","Lioptilodes parvus"
"G0601","Astereae","Baccharis","Baccharis subdentata","Diptera","Tephritidae","Trypanaresta","Trypanaresta sp.14"
"G0602","Vernonieae","Lessingianthus","Lessingianthus bardanoides",,,,
"G0603","Eupatorieae","Campuloclinium","Campuloclinium chlorolepis","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"G0604","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"G0604","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Cecidochares","Cecidochares sp."
"G0604","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"G0604","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"G0604","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"G0604","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.01"
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Neomyopites","Neomyopites paulensis"
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Trupanea","Trupanea indet."
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Trupanea","Trupanea sp.10"
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"G0605","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.11"
"G0606","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"G0606","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares fluminensis"
"G0606","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"G0606","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"G0606","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"G0606","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.02"
"G0607","Vernonieae","Vernonanthura","Vernonanthura membranacea","Diptera","Tephritidae","Tomoplagia","Tomoplagia reimoseri"
"G0608","Vernonieae","Piptocarpha","Piptocarpha rotundifolia","Diptera","Tephritidae","Caenoriata","Caenoriata pertinax"
"G0608","Vernonieae","Piptocarpha","Piptocarpha rotundifolia","Diptera","Tephritidae","Tomoplagia","Tomoplagia sp.01"
"G0608","Vernonieae","Piptocarpha","Piptocarpha rotundifolia","Diptera","Tephritidae","Tomoplagia","Tomoplagia sp.05"
"G0609","Mutisieae","Gochnatia","Gochnatia pulchra","Diptera","Tephritidae","Euarestoides","Euarestoides sp.05"
