"n.month";"month";"year";"bust";"waist";"hips";"height";"weight"
0;"December";1953;36;24;36;65;118
1;"January";1954;;;;;
2;"February";1954;;;;;
3;"March";1954;34;24;35;66;118
4;"April";1954;;;;;
5;"May";1954;;;;;
6;"June";1954;;;;;
7;"July";1954;;;;;
8;"August";1954;;;;;
9;"September";1954;;;;;
10;"October";1954;;;;;
11;"November";1954;;;;65,5;125
12;"December";1954;36;24;36;;
13;"January";1955;;;;65,5;
14;"February";1955;40;21;32;;
15;"March";1955;;;;;
16;"April";1955;;;;;
17;"May";1955;;;;;
18;"June";1955;39;25;35;;
19;"July";1955;36;24;36;65,5;115
20;"August";1955;;;;;
21;"September";1955;;;;;
22;"October";1955;;;;;
23;"November";1955;;;;;
24;"December";1955;36;24;36;65,5;115
25;"January";1956;38;24;37;;
26;"February";1956;;;;;
27;"March";1956;34;21;34;63;
28;"April";1956;36;22;35;65,5;
29;"May";1956;36;23;35;66;
30;"June";1956;34;21;34;63;
31;"July";1956;36;24;34;62;105
32;"August";1956;37;24;36;67;122
33;"September";1956;38;24;35;;
34;"October";1956;36;24;36;65,5;115
35;"November";1956;39;22;36;63;128
36;"December";1956;35;23;35;62;106
37;"January";1957;36;25;36;65;120
38;"February";1957;;;;;
39;"March";1957;36;20;36;67;120
40;"April";1957;;;;;
41;"May";1957;;;;;
42;"June";1957;;;;;
43;"July";1957;38;23;34;63;
44;"August";1957;;;;;
45;"September";1957;;;;;117
46;"October";1957;;;;;
47;"November";1957;34;22;33;62;98
48;"December";1957;35;21;35;;
49;"January";1958;;;;;
50;"February";1958;;;;;
51;"March";1958;;;;67;
52;"April";1958;;;;67,5;
53;"May";1958;38;21;34;69;124
54;"June";1958;40;20;36;65;120
55;"July";1958;;;;62;
56;"August";1958;;;;;
57;"September";1958;;;;62;100
58;"October";1958;;;;;
59;"November";1958;34;22,5;34;65;118
60;"December";1958;34;24;34;66,5;118
61;"January";1959;37;22;36;;
62;"February";1959;40;22;37;68,5;135
63;"March";1959;;;;;
64;"April";1959;36;24;36;65;125
65;"May";1959;36;24;36;66;124
66;"June";1959;;;;;
67;"July";1959;36;24;36;63;105
68;"August";1959;;;;;
69;"September";1959;34;24;34;66;110
70;"October";1959;39;25;37;68;130
71;"November";1959;36;22;36;63,5;115
72;"December";1959;35;20;35;64;110
73;"January";1960;36;24;36;;
74;"February";1960;37;23;36;67;130
75;"March";1960;37;24;36;68;126
76;"April";1960;38;23;36,5;64;112
77;"May";1960;36;23;36;65;125
78;"June";1960;36;20;36;62;108
79;"July";1960;37;22;35;65;110
80;"August";1960;34;23;35;64;120
81;"September";1960;38;20;35;62;105
82;"October";1960;34;21;34;65;114
83;"November";1960;33;18;32;62;100
84;"December";1960;37;23;35;66;120
85;"January";1961;37;21;36;65;110
86;"February";1961;36;24;36;67;120
87;"March";1961;37;22;36;64;117
88;"April";1961;36;24;36;67;125
89;"May";1961;36;22;35;63;108
90;"June";1961;36;22;34;64;105
91;"July";1961;35;23;35;69;126
92;"August";1961;;;;;
93;"September";1961;38;22;36;65;122
94;"October";1961;38;24;37;64;120
95;"November";1961;36;22;35;67;120
96;"December";1961;35;22;35;66,5;115
97;"January";1962;38;22;34;65;112
98;"February";1962;36;23;35;64;117
99;"March";1962;39;23;35;61;104
100;"April";1962;34;21;34;62;102
101;"May";1962;37;23;36;68,5;126
102;"June";1962;36;22;36;64,5;116
103;"July";1962;39;23;39;67;129
104;"August";1962;39;23;35;65;120
105;"September";1962;36;18;34;60;100
106;"October";1962;36;25;36;66;125
107;"November";1962;39;22;36;65,5;124
108;"December";1962;36;20;34;62;102
109;"January";1963;34;22;33;61;100
110;"February";1963;38;22;36;65;120
111;"March";1963;38;22;36;67;125
112;"April";1963;37;24;36;68,5;137
113;"May";1963;36;23;36;64;110
114;"June";1963;34;23;34;66;115
115;"July";1963;39;24;36;65;123
116;"August";1963;34;22;35;61;115
117;"September";1963;35;22;35;63;110
118;"October";1963;37;26;37;72;150
119;"November";1963;36;21;35;66;120
120;"December";1963;38;22;37;64;118
121;"January";1964;35;22;35;62;109
122;"February";1964;36;21;36;66;105
123;"March";1964;34;25;34;66;120
124;"April";1964;37;24;36;65;118
125;"May";1964;36;23;36;65;117
126;"June";1964;34;23;34;62,5;110
127;"July";1964;39;22;35;62;110
128;"August";1964;35;22;35;64;112
129;"September";1964;36;23;36;67;120
130;"October";1964;41;25;38;66;145
131;"November";1964;35;23;35;63;117
132;"December";1964;36;24;36;64;112
133;"January";1965;35;22;34;65;110
134;"February";1965;36;23;36;65;115
135;"March";1965;36;23;36;68,5;130
136;"April";1965;34;20;34;59;98
137;"May";1965;36;22;36;63;105
138;"June";1965;34;22;35;65,5;120
139;"July";1965;36;23;35;65;120
140;"August";1965;34;22;36;66;115
141;"September";1965;34;19;34;65;113
142;"October";1965;36;24;36;66;117
143;"November";1965;35;22;35;67;118
144;"December";1965;37;23;36;68;115
145;"January";1966;36;22;34;63;100
146;"February";1966;38;23;36;64;119
147;"March";1966;34;19;35;62;105
148;"April";1966;35;22;35,5;59;98
149;"May";1966;37;24;37;64,5;120
150;"June";1966;34;22;33,5;60;100
151;"July";1966;34;23;34;65;108
152;"August";1966;;25;;67;123
153;"September";1966;37;24;36,5;67;130
154;"October";1966;39;24;36;65;125
155;"November";1966;35;23;35;68;132
156;"December";1966;35;22;35;63;105
157;"January";1967;35;22;34;62;100
158;"February";1967;35;20;34;64;108
159;"March";1967;39;24;36;62;110
160;"April";1967;35;23;34;60;100
161;"May";1967;35;23;35;64;108
162;"June";1967;39;24,5;36;66;128
163;"July";1967;36,5;20;35;66;116
164;"August";1967;34;21;33;62;98
165;"September";1967;36;21;35;65;109
166;"October";1967;40;25;35;70;135
167;"November";1967;35,5;23;34;66;115
168;"December";1967;34;23;34;60;100
169;"January";1968;35;23;36;65;118
170;"February";1968;35,5;22;35;67;115
171;"March";1968;38;23;35;64,5;110
172;"April";1968;35;24;35;66;118
173;"May";1968;33;21;35;62;93
174;"June";1968;34;21,5;34;64;108
175;"July";1968;34;23;34;65;100
176;"August";1968;36;22;35;64;110
177;"September";1968;36;24;35;64;122
178;"October";1968;34;22;34;65;108
179;"November";1968;36;24;36;65;118
180;"December";1968;39;24;36;63;119
181;"January";1969;36;24;37;67;130
182;"February";1969;36,5;21;36;66;118
183;"March";1969;36;24;34;64,5;120
184;"April";1969;35;23;34;64;105
185;"May";1969;36;24;35;64;110
186;"June";1969;35,5;24;34;63;110
187;"July";1969;36;24;34;62;105
188;"August";1969;36;24,5;36;63;112
189;"September";1969;36;23;34,5;63;110
190;"October";1969;34;23;36;64;117
191;"November";1969;35;23;36;66;115
192;"December";1969;34;23;34;62;105
193;"January";1970;37;24;36;64;120
194;"February";1970;35;23;35;63;115
195;"March";1970;35;24;35;67;120
196;"April";1970;36,5;24;35;66;118
197;"May";1970;36;22;34;64,5;105
198;"June";1970;35;24;35;65;110
199;"July";1970;35;25;36;66;120
200;"August";1970;35;24;36;66;115
201;"September";1970;35;24;36;65,5;118
202;"October";1970;36;25;36;65,5;114
203;"November";1970;39;26;37;69;140
204;"December";1970;37,5;24,5;35;65;118
205;"January";1971;36;22,5;34;67,5;108
206;"February";1971;34;23;34;64;108
207;"March";1971;37;25;36;63;120
208;"April";1971;35,5;24;35,5;67,5;126
209;"May";1971;35,5;23;35,5;68;123
210;"June";1971;35,5;23;35,5;65,5;117
211;"July";1971;32;23;33,5;64;103
212;"August";1971;35;23;35;65,5;110
213;"September";1971;37;22;35;67;118
214;"October";1971;36;24;36;71;133
215;"November";1971;36;25;34;64,5;120
216;"December";1971;37;24;36;65;120
217;"January";1972;36;24;35;68;119
218;"February";1972;36;25;36;64,5;121
219;"March";1972;36,5;23,5;35;63;107
220;"April";1972;34;22;34;68;115
221;"May";1972;35;22;35;67;110
222;"June";1972;36;24;36;67;122
223;"July";1972;35;25;35;66;117
224;"August";1972;35,5;23;34,5;62;105
225;"September";1972;38,5;25;39;73;140
226;"October";1972;40;22;37;68;125
227;"November";1972;34;26;36;66;110
228;"December";1972;36;23;36;64;115
229;"January";1973;38;22;36;64;108
230;"February";1973;34;22;34;65;103
231;"March";1973;36;23;36;65,5;113
232;"April";1973;35;24;35;68;125
233;"May";1973;35;23;35;64;105
234;"June";1973;35;23;35;62;103
235;"July";1973;36;23;35;66;110
236;"August";1973;35;23;35;67;120
237;"September";1973;38;24;36;68;125
238;"October";1973;37;24;36;67;125
239;"November";1973;37;24,5;36;62,5;108
240;"December";1973;38;23;36,5;68;125
241;"January";1974;35;23;35;68;118
242;"February";1974;36;24;34;65;110
243;"March";1974;36;24;36;63;112
244;"April";1974;36;25;36;68,5;125
245;"May";1974;39;24;36;67;130
246;"June";1974;35;24;34;66;114
247;"July";1974;37;22;35;66;115
248;"August";1974;36;24;;67;122
249;"September";1974;34;23;35;65,5;112
250;"October";1974;36;24;36;67,5;123
251;"November";1974;34,5;24;35;69,5;120
252;"December";1974;38;26;37,5;70;143
253;"January";1975;37;22;35;67;120
254;"February";1975;37;24;36;65;110
255;"March";1975;36;24;36;66,5;116
256;"April";1975;36;23;35;66;115
257;"May";1975;35;23;34;66;105
258;"June";1975;36;23;36,5;66;119
259;"July";1975;36;22,5;35;63;108
260;"August";1975;36;24;35;68;125
261;"September";1975;35;24;34;64,5;110
262;"October";1975;34;23;34;67;103
263;"November";1975;39;24;36;66;125
264;"December";1975;36;24;35;66;110
265;"January";1976;36;25;36;67;127
266;"February";1976;35;25;37;65;120
267;"March";1976;34;25;35;65,5;110
268;"April";1976;36;25;36;65,5;120
269;"May";1976;34;24;37;68;125
270;"June";1976;36;24;34;66;118
271;"July";1976;34;22;34,5;64,5;102
272;"August";1976;35;24;35;66;100
273;"September";1976;35;23;34;63;105
274;"October";1976;36,5;25;36;68;120
275;"November";1976;35;23;35;65;115
276;"December";1976;35;23;35;68;118
277;"January";1977;37;24;37;68;135
278;"February";1977;;;;;
279;"March";1977;33,5;23;35;65;112
280;"April";1977;35;24;35;68;120
281;"May";1977;38;25;36;68;130
282;"June";1977;36;22;32;62,5;105
283;"July";1977;34;24;35;66;110
284;"August";1977;36;23;32;66;112
285;"September";1977;35;24;36;64;114
286;"October";1977;34;24,5;34;66;119
287;"November";1977;36;23;36;70;125
288;"December";1977;36;24;35;68;120
289;"January";1978;36;24;35;68;120
290;"February";1978;34;24;35;64;110
291;"March";1978;34;24;35;66;110
292;"April";1978;35;24;35;65;115
293;"May";1978;34;23;34;67;110
294;"June";1978;34;22;34;61;103
295;"July";1978;32;22;32;66;95
296;"August";1978;36;24;36;67;117
297;"September";1978;36;23;34;62;101
298;"October";1978;35;23;35;68;117
299;"November";1978;36;26;36;67;117
300;"December";1978;36;24;36;67,5;118
301;"January";1979;37;24;34;67;110
302;"February";1979;35;23;35;64;107
303;"March";1979;37;24;33;63;104
304;"April";1979;34;22;32;64;95
305;"May";1979;34;24;34;65;108
306;"June";1979;35;23;34;64,5;110
307;"July";1979;35,5;24,5;34;67;118
308;"August";1979;36;24;36;69;123
309;"September";1979;33,5;22;34;67;105
310;"October";1979;33;23;33;66;103
311;"November";1979;34;23;34;67;110
312;"December";1979;35;23;34;67;110
313;"January";1980;38;24;36;68;115
314;"February";1980;35,5;25;35,5;65,5;118
315;"March";1980;35;25;36;68,5;125
316;"April";1980;34,5;24;33,5;65;110
317;"May";1980;37;24;35;69;130
318;"June";1980;34;26;35;62;105
319;"July";1980;35;22;34;67;104
320;"August";1980;36;25;35;68;119
321;"September";1980;34;22;34;67;115
322;"October";1980;34;24;35;66;105
323;"November";1980;34;23;33;67;105
324;"December";1980;36;24;36;69;120
325;"January";1981;38;26;37;65;123
326;"February";1981;36;23;34;68;120
327;"March";1981;36;24;36;68;124
328;"April";1981;35;22;34;63;103
329;"May";1981;36;24;36;65;105
330;"June";1981;38;26;37;68;127
331;"July";1981;36;24;34;67,5;120
332;"August";1981;37,5;23;34;64;107
333;"September";1981;36;24;36;68;120
334;"October";1981;36;24;36;67;119
335;"November";1981;36;25;36;70;128
336;"December";1981;36;25;36;63;115
337;"January";1982;37;22;34;63;101
338;"February";1982;32;23;34;68;112
339;"March";1982;35;23;33;66;106
340;"April";1982;34;23;34;60,5;98
341;"May";1982;36;20;34;65;105
342;"June";1982;34;22;33;63;102
343;"July";1982;36;22;36;66;115
344;"August";1982;34;22;34;64;102
345;"September";1982;34;22;35;67;115
346;"October";1982;34;21;32;68;105
347;"November";1982;34;24;34;69;125
348;"December";1982;34;23;34;69;116
349;"January";1983;36;22;35;67;118
350;"February";1983;35;23;34;64;101
351;"March";1983;34;22;32;62;103
352;"April";1983;34;22;33;64;105
353;"May";1983;34;23;34;65;108
354;"June";1983;37;24;37;68;126
355;"July";1983;35;22;34;65;108
356;"August";1983;34;24;34;63;100
357;"September";1983;35;23;34;65;105
358;"October";1983;35;24;35;68;118
359;"November";1983;34;22;34;68;112
360;"December";1983;35;23;33;66;100
361;"January";1984;35;22;34;68;115
362;"February";1984;36;25;35;69;120
363;"March";1984;37;24;35;67;118
364;"April";1984;34;22;32;65;108
365;"May";1984;36;23;32;65;107
366;"June";1984;36;22;34;67;110
367;"July";1984;35;23;34;67;116
368;"August";1984;36;24;36;68,5;115
369;"September";1984;36;25;35;63;105
370;"October";1984;35;21;34;65;102
371;"November";1984;40;25;36;68;125
372;"December";1984;37;23;35;67;118
373;"January";1985;36;24;35;68;118
374;"February";1985;34;23;34;69;117
375;"March";1985;37;24;35;67;105
376;"April";1985;34;23;34;67;114
377;"May";1985;35;24;35;69;122
378;"June";1985;34;22;34;67;110
379;"July";1985;36;22;32;67;112
380;"August";1985;37,5;24;35;67;123
381;"September";1985;34;24;34;65;105
382;"October";1985;36;25;36;68,5;125
383;"November";1985;;;;65;110
384;"December";1985;35;23,5;35;67;118
385;"January";1986;36;22;34;65;104
386;"February";1986;36;24;35;67;115
387;"March";1986;35;23;35;66;118
388;"April";1986;34;21;34;67;108
389;"May";1986;34;24;34;66;107
390;"June";1986;34;24;34;65;105
391;"July";1986;35;24;35;66,5;110
392;"August";1986;36;24;34;67;114
393;"September";1986;34;23;32;67;110
394;"October";1986;35;23;34;66;107
395;"November";1986;36;23;35;70;127
396;"December";1986;34;21;33;67;103
397;"January";1987;35;23;34;65;105
398;"February";1987;38;24;36;68;130
399;"March";1987;34;23;35;67;"NOT LISTED"
400;"April";1987;32;23;34;61;98
401;"May";1987;34;24;35;68;120
402;"June";1987;35;21;33;67;107
403;"July";1987;35;23;35;67;115
404;"August";1987;32;22;34;62;100
405;"September";1987;36;24;36;67;118
406;"October";1987;36;24;35;65;105
407;"November";1987;34;23;33,5;65;105
408;"December";1987;35;24;34;71;127
409;"January";1988;36;24;36;69;122
410;"February";1988;34;22;33;65;101
411;"March";1988;35;25;35;68;117
412;"April";1988;36;25;35;68;125
413;"May";1988;36;24;35;67;118
