Arvore;Figo;Vespas;Sementes;Flores
A;1;252;192;444
A;2;196;244;422
A;3;177;264;460
A;4;186;248;416
A;5;198;186;365
A;6;150;252;405
A;7;271;264;539
A;8;186;188;394
A;9;247;208;439
A;10;209;186;395
A;11;157;318;473
A;12;104;220;344
A;13;98;276;357
A;14;257;238;498
A;15;245;224;481
A;16;243;238;472
A;17;114;190;324
A;18;211;212;407
A;19;270;214;466
A;20;209;234;454
A;21;160;242;395
A;22;272;192;458
A;23;178;198;392
A;24;273;168;432
A;25;151;182;320
B;26;132;254;392
B;27;73;214;278
B;28;234;214;440
B;29;165;184;338
B;30;146;184;347
B;31;161;234;395
B;32;274;124;406
B;33;276;174;441
B;34;350;172;527
B;35;279;174;457
B;36;287;142;418
B;37;320;126;443
B;38;290;124;418
B;39;249;124;376
B;40;209;124;343
B;41;280;58;318
B;42;274;170;464
B;43;175;116;298
B;44;167;116;284
B;45;227;108;345
B;46;132;144;267
B;47;173;114;303
B;48;183;132;302
B;49;132;102;216
B;50;121;108;223
